fold,method,K,history_alpha,history_mse,history_phase,grid_optimized_alpha,alpha_diff,alpha_diff_abs
1,chebyshev,50,10.0,0.6564366377694535,coarse,7.5,2.5,2.5
1,chebyshev,60,10.0,0.6586337479592124,coarse,8.0,2.0,2.0
1,chebyshev,70,10.0,0.66044387526076,coarse,8.0,2.0,2.0
1,chebyshev,80,10.0,0.6618608371628641,coarse,8.0,2.0,2.0
1,chebyshev,90,10.0,0.6629428229065634,coarse,8.5,1.5,1.5
1,chebyshev,100,10.0,0.6638487572369264,coarse,8.5,1.5,1.5
1,cosine,10,1.5,1.041500271492554,coarse,1.0,0.5,0.5
1,cosine,20,2.0,1.018536306716431,coarse,1.0,1.0,1.0
1,cosine,30,2.5,1.0131880439848553,coarse,1.0000000000000004,1.4999999999999996,1.4999999999999996
1,cosine,40,2.5,1.0137390907921475,coarse,1.0,1.5,1.5
1,cosine,50,3.0,1.0147124000667336,coarse,1.0,2.0,2.0
1,cosine,60,3.0,1.015335894729388,coarse,1.0,2.0,2.0
1,cosine,70,3.0,1.0162708242386225,coarse,1.0,2.0,2.0
1,cosine,80,3.5,1.0170713487568357,coarse,1.0,2.5,2.5
1,cosine,90,3.5,1.017712575338262,coarse,1.0,2.5,2.5
1,cosine,100,3.5,1.0182776498226114,coarse,1.0000000000000004,2.4999999999999996,2.4999999999999996
1,cpcc,10,6.5,0.6494951968674534,coarse,2.249999999999999,4.250000000000001,4.250000000000001
1,cpcc,20,9.0,0.657007566353021,coarse,4.0,5.0,5.0
1,cpcc,30,9.5,0.6620213074412276,coarse,5.0,4.5,4.5
1,cpcc,40,9.5,0.664854793318693,coarse,5.0,4.5,4.5
1,cpcc,50,10.0,0.6665923198612899,coarse,5.5,4.5,4.5
1,cpcc,60,10.0,0.6677570965620441,coarse,6.0,4.0,4.0
1,cpcc,70,10.0,0.6685407305839188,coarse,6.0,4.0,4.0
1,cpcc,80,10.0,0.6690968454261105,coarse,6.0,4.0,4.0
1,cpcc,90,10.0,0.6694583425163647,coarse,6.5,3.5,3.5
1,cpcc,100,10.0,0.669700863124046,coarse,6.5,3.5,3.5
1,euclidean,10,3.5,0.7176392848132452,coarse,2.6999999999999975,0.8000000000000025,0.8000000000000025
1,euclidean,20,4.0,0.7237841041017193,coarse,3.5,0.5,0.5
1,euclidean,30,4.5,0.7304416347427307,coarse,4.0,0.5,0.5
1,euclidean,40,5.0,0.7351809855982857,coarse,4.0,1.0,1.0
1,euclidean,50,5.0,0.7383664089369399,coarse,4.5,0.5,0.5
1,euclidean,60,5.0,0.7408943265905947,coarse,4.5,0.5,0.5
1,euclidean,70,5.5,0.7425768804039027,coarse,4.5,1.0,1.0
1,euclidean,80,5.5,0.7437193576259405,coarse,4.5,1.0,1.0
1,euclidean,90,5.5,0.7446101751951146,coarse,4.5,1.0,1.0
