fold,method,K,alpha_std,alpha_range,n_unique_alphas
2,msd,100,0.0,0.0,1
2,pcc,10,0.0,0.0,1
2,pcc,20,0.0,0.0,1
2,pcc,30,0.0,0.0,1
2,pcc,40,0.0,0.0,1
2,pcc,50,0.0,0.0,1
2,pcc,60,0.0,0.0,1
2,pcc,70,0.0,0.0,1
2,pcc,80,0.0,0.0,1
2,pcc,90,0.0,0.0,1
2,pcc,100,0.0,0.0,1
2,spcc,10,0.0,0.0,1
2,spcc,20,0.0,0.0,1
2,spcc,30,0.0,0.0,1
2,spcc,40,0.0,0.0,1
2,spcc,50,0.0,0.0,1
2,spcc,60,0.0,0.0,1
2,spcc,70,0.0,0.0,1
2,spcc,80,0.0,0.0,1
2,spcc,90,0.0,0.0,1
2,spcc,100,0.0,0.0,1
2,src,10,0.0,0.0,1
2,src,20,0.0,0.0,1
2,src,30,0.0,0.0,1
2,src,40,0.0,0.0,1
2,src,50,0.0,0.0,1
2,src,60,0.0,0.0,1
2,src,70,0.0,0.0,1
2,src,80,0.0,0.0,1
2,src,90,0.0,0.0,1
2,src,100,0.0,0.0,1
3,acos,10,0.0,0.0,1
3,acos,20,0.0,0.0,1
3,acos,30,0.0,0.0,1
3,acos,40,2.7755575615628914e-17,0.0,1
3,acos,50,0.0,0.0,1
3,acos,60,0.0,0.0,1
3,acos,70,5.551115123125783e-17,0.0,1
3,acos,80,5.551115123125783e-17,0.0,1
3,acos,90,0.0,0.0,1
3,acos,100,0.0,0.0,1
3,ami,10,0.0,0.0,1
3,ami,20,0.0,0.0,1
3,ami,30,0.0,0.0,1
3,ami,40,0.0,0.0,1
3,ami,50,0.0,0.0,1
3,ami,60,0.0,0.0,1
3,ami,70,0.0,0.0,1
3,ami,80,0.0,0.0,1
3,ami,90,0.0,0.0,1
3,ami,100,0.0,0.0,1
3,ari,10,2.7755575615628914e-17,0.0,1
3,ari,20,5.551115123125783e-17,0.0,1
3,ari,30,0.0,0.0,1
3,ari,40,0.0,0.0,1
3,ari,50,0.0,0.0,1
3,ari,60,1.1102230246251565e-16,0.0,1
3,ari,70,1.1102230246251565e-16,0.0,1
3,ari,80,1.1102230246251565e-16,0.0,1
3,ari,90,0.0,0.0,1
3,ari,100,0.0,0.0,1
3,chebyshev,10,0.0,0.0,1
3,chebyshev,20,0.0,0.0,1
