fold,method,alpha,type,K,TopN,validation_mse,validation_rmse,validation_precision,validation_recall,regularization_penalty,regularized_score,test_RMSE,test_MAD,test_Precision,test_Recall,RMSE,MAD,Precision,Recall,lambda
6,ipwr,1.8000000000000005,optimized,100,30,0.9418589526691292,0.9704941796163074,0.5990687931424811,0.9585574160478572,0.0016,0.9434589526691294,0.9713019755743356,0.7715799692483732,0.5657963029676396,0.9939307586589178,0.9713019755743356,0.7715799692483732,0.5657963029676396,0.9939307586589178,0.002
6,ipwr,1.8000000000000005,optimized,100,35,0.9418589526691292,0.9704941796163074,0.5928576534153057,0.9730030269560088,0.0016,0.9434589526691294,0.9713019755743356,0.7715799692483732,0.5640791783513212,0.9969384967569416,0.9713019755743356,0.7715799692483732,0.5640791783513212,0.9969384967569416,0.002
6,ipwr,1.8000000000000005,optimized,100,40,0.9418589526691292,0.9704941796163074,0.5884962151140338,0.9826348416340308,0.0016,0.9434589526691294,0.9713019755743356,0.7715799692483732,0.5632596636413674,0.998488824101069,0.9713019755743356,0.7715799692483732,0.5632596636413674,0.998488824101069,0.002
6,ipwr,1.8000000000000005,optimized,100,45,0.9418589526691292,0.9704941796163074,0.5846949519851972,0.988195517330312,0.0016,0.9434589526691294,0.9713019755743356,0.7715799692483732,0.562894932831508,0.9989525969117806,0.9713019755743356,0.7715799692483732,0.562894932831508,0.9989525969117806,0.002
6,ipwr,1.8000000000000005,optimized,100,50,0.9418589526691292,0.9704941796163074,0.5823553525888231,0.992391900449734,0.0016,0.9434589526691294,0.9713019755743356,0.7715799692483732,0.5626950957687602,0.9995194903358168,0.9713019755743356,0.7715799692483732,0.5626950957687602,0.9995194903358168,0.002
6,ipwr,1.0,baseline,100,5,,,,,0.0,,0.9733978917195087,0.7739724576405738,0.6482679392011311,0.7207744262103368,0.9733978917195087,0.7739724576405738,0.6482679392011311,0.7207744262103368,0.002
6,ipwr,1.0,baseline,100,10,,,,,0.0,,0.9733978917195087,0.7739724576405738,0.6092300829840596,0.8778139365292488,0.9733978917195087,0.7739724576405738,0.6092300829840596,0.8778139365292488,0.002
6,ipwr,1.0,baseline,100,15,,,,,0.0,,0.9733978917195087,0.7739724576405738,0.5872678635138869,0.9433179338396256,0.9733978917195087,0.7739724576405738,0.5872678635138869,0.9433179338396256,0.002
6,ipwr,1.0,baseline,100,20,,,,,0.0,,0.9733978917195087,0.7739724576405738,0.5760728734343589,0.9734047640382402,0.9733978917195087,0.7739724576405738,0.5760728734343589,0.9734047640382402,0.002
6,ipwr,1.0,baseline,100,25,,,,,0.0,,0.9733978917195087,0.7739724576405738,0.5693492824265686,0.987381121977976,0.9733978917195087,0.7739724576405738,0.5693492824265686,0.987381121977976,0.002
6,ipwr,1.0,baseline,100,30,,,,,0.0,,0.9733978917195087,0.7739724576405738,0.5657963029676396,0.99397944333211,0.9733978917195087,0.7739724576405738,0.5657963029676396,0.99397944333211,0.002
6,ipwr,1.0,baseline,100,35,,,,,0.0,,0.9733978917195087,0.7739724576405738,0.5640488799116908,0.996872146167192,0.9733978917195087,0.7739724576405738,0.5640488799116908,0.996872146167192,0.002
6,ipwr,1.0,baseline,100,40,,,,,0.0,,0.9733978917195087,0.7739724576405738,0.5632861747760437,0.9985365151351546,0.9733978917195087,0.7739724576405738,0.5632861747760437,0.9985365151351546,0.002
6,ipwr,1.0,baseline,100,45,,,,,0.0,,0.9733978917195087,0.7739724576405738,0.5629184982845539,0.99904707914912,0.9733978917195087,0.7739724576405738,0.5629184982845539,0.99904707914912,0.002
6,ipwr,1.0,baseline,100,50,,,,,0.0,,0.9733978917195087,0.7739724576405738,0.5626950957687602,0.9995194903358168,0.9733978917195087,0.7739724576405738,0.5626950957687602,0.9995194903358168,0.002
6,itr,1.0000000000000004,optimized,10,5,0.9907102646629016,0.9953442945347613,0.7513785790031813,0.5994601552732977,8.881784197001254e-19,0.9907102646629016,1.098139772964104,0.861925749173578,0.6469954047366561,0.7221619156293808,1.098139772964104,0.861925749173578,0.6469954047366561,0.7221619156293808,0.002
6,itr,1.0000000000000004,optimized,10,10,0.9907102646629016,0.9953442945347613,0.6809035667996431,0.7745561457807726,8.881784197001254e-19,0.9907102646629016,1.098139772964104,0.861925749173578,0.607321281287347,0.8765490852989086,1.098139772964104,0.861925749173578,0.607321281287347,0.8765490852989086,0.002
6,itr,1.0000000000000004,optimized,10,15,0.9907102646629016,0.9953442945347613,0.6501277501807724,0.8607761261858337,8.881784197001254e-19,0.9907102646629016,1.098139772964104,0.861925749173578,0.5855711508945868,0.9413357999110206,1.098139772964104,0.861925749173578,0.5855711508945868,0.9413357999110206,0.002
6,itr,1.0000000000000004,optimized,10,20,0.9907102646629016,0.9953442945347613,0.62849773764293,0.912549598755138,8.881784197001254e-19,0.9907102646629016,1.098139772964104,0.861925749173578,0.5745352276231181,0.9716724073911326,1.098139772964104,0.861925749173578,0.5745352276231181,0.9716724073911326,0.002
6,itr,1.0000000000000004,optimized,10,25,0.9907102646629016,0.9953442945347613,0.6120267972995198,0.942364965969728,8.881784197001254e-19,0.9907102646629016,1.098139772964104,0.861925749173578,0.568628179563366,0.9866294862176528,1.098139772964104,0.861925749173578,0.568628179563366,0.9866294862176528,0.002
6,itr,1.0000000000000004,optimized,10,30,0.9907102646629016,0.9953442945347613,0.6013310766348811,0.9618320699589392,8.881784197001254e-19,0.9907102646629016,1.098139772964104,0.861925749173578,0.5655842138902271,0.993856298097599,1.098139772964104,0.861925749173578,0.5655842138902271,0.993856298097599,0.002
6,itr,1.0000000000000004,optimized,10,35,0.9907102646629016,0.9953442945347613,0.5945543660346059,0.975063077815518,8.881784197001254e-19,0.9907102646629016,1.098139772964104,0.861925749173578,0.5641094767909516,0.9971028643438988,1.098139772964104,0.861925749173578,0.5641094767909516,0.9971028643438988,0.002
6,itr,1.0000000000000004,optimized,10,40,0.9907102646629016,0.9953442945347613,0.5895831716357728,0.9838743891992024,8.881784197001254e-19,0.9907102646629016,1.098139772964104,0.861925749173578,0.5632331525066907,0.9985190584170176,1.098139772964104,0.861925749173578,0.5632331525066907,0.9985190584170176,0.002
6,itr,1.0000000000000004,optimized,10,45,0.9907102646629016,0.9953442945347613,0.5855904392009389,0.9892332176563068,8.881784197001254e-19,0.9907102646629016,1.098139772964104,0.861925749173578,0.5629420637375996,0.9991316632473096,1.098139772964104,0.861925749173578,0.5629420637375996,0.9991316632473096,0.002
6,itr,1.0000000000000004,optimized,10,50,0.9907102646629016,0.9953442945347613,0.5827795307436481,0.992929025440238,8.881784197001254e-19,0.9907102646629016,1.098139772964104,0.861925749173578,0.5626950957687602,0.9995284886441348,1.098139772964104,0.861925749173578,0.5626950957687602,0.9995284886441348,0.002
6,itr,1.0,baseline,10,5,,,,,0.0,,1.098139772964104,0.861925749173578,0.6469954047366561,0.7221619156293808,1.098139772964104,0.861925749173578,0.6469954047366561,0.7221619156293808,0.002
6,itr,1.0,baseline,10,10,,,,,0.0,,1.098139772964104,0.861925749173578,0.607321281287347,0.8765490852989086,1.098139772964104,0.861925749173578,0.607321281287347,0.8765490852989086,0.002
6,itr,1.0,baseline,10,15,,,,,0.0,,1.098139772964104,0.861925749173578,0.5855711508945868,0.9413357999110206,1.098139772964104,0.861925749173578,0.5855711508945868,0.9413357999110206,0.002
6,itr,1.0,baseline,10,20,,,,,0.0,,1.098139772964104,0.861925749173578,0.5745352276231181,0.9716724073911326,1.098139772964104,0.861925749173578,0.5745352276231181,0.9716724073911326,0.002
6,itr,1.0,baseline,10,25,,,,,0.0,,1.098139772964104,0.861925749173578,0.568628179563366,0.9866294862176528,1.098139772964104,0.861925749173578,0.568628179563366,0.9866294862176528,0.002
6,itr,1.0,baseline,10,30,,,,,0.0,,1.098139772964104,0.861925749173578,0.5655842138902271,0.993856298097599,1.098139772964104,0.861925749173578,0.5655842138902271,0.993856298097599,0.002
6,itr,1.0,baseline,10,35,,,,,0.0,,1.098139772964104,0.861925749173578,0.5641094767909516,0.9971028643438988,1.098139772964104,0.861925749173578,0.5641094767909516,0.9971028643438988,0.002
6,itr,1.0,baseline,10,40,,,,,0.0,,1.098139772964104,0.861925749173578,0.5632331525066907,0.9985190584170176,1.098139772964104,0.861925749173578,0.5632331525066907,0.9985190584170176,0.002
6,itr,1.0,baseline,10,45,,,,,0.0,,1.098139772964104,0.861925749173578,0.5629420637375996,0.9991316632473096,1.098139772964104,0.861925749173578,0.5629420637375996,0.9991316632473096,0.002
6,itr,1.0,baseline,10,50,,,,,0.0,,1.098139772964104,0.861925749173578,0.5626950957687602,0.9995284886441348,1.098139772964104,0.861925749173578,0.5626950957687602,0.9995284886441348,0.002
6,itr,1.0,optimized,20,5,0.940086062262932,0.9695803536906736,0.752863202545069,0.5989859842245149,0.0,0.940086062262932,1.053149437889287,0.8262552865905354,0.6520855425945563,0.7250365968732954,1.053149437889287,0.8262552865905354,0.6520855425945563,0.7250365968732954,0.002
6,itr,1.0,optimized,20,10,0.940086062262932,0.9695803536906736,0.6835546802672996,0.7751779984049698,0.0,0.940086062262932,1.053149437889287,0.8262552865905354,0.6105026174485347,0.8794825307655599,1.053149437889287,0.8262552865905354,0.6105026174485347,0.8794825307655599,0.002
6,itr,1.0,optimized,20,15,0.940086062262932,0.9695803536906736,0.6518951591592101,0.8614220865931395,0.0,0.940086062262932,1.053149437889287,0.8262552865905354,0.5858539363311368,0.9415477162075516,1.053149437889287,0.8262552865905354,0.5858539363311368,0.9415477162075516,0.002
