fold,method,alpha,type,K,TopN,RMSE,MAD,Precision,Recall,lambda
3,acos,0.45,optimized,80,30,1.0153737546315844,0.8125928926639456,0.5751815794189735,0.9933859840368695,0.015
3,acos,0.45,optimized,80,35,1.0153737546315844,0.8125928926639456,0.57350816163242,0.9965781344444645,0.015
3,acos,0.45,optimized,80,40,1.0153737546315844,0.8125928926639456,0.572719284718913,0.9983171699453679,0.015
3,acos,0.45,optimized,80,45,1.0153737546315844,0.8125928926639456,0.5723233371395967,0.9988148631432836,0.015
3,acos,0.45,optimized,80,50,1.0153737546315844,0.8125928926639456,0.5721017870904577,0.9991443484213229,0.015
3,acos,0.45,optimized,90,5,1.0156776285793863,0.8128712832447827,0.6682750088370449,0.7242526127132484,0.015
3,acos,0.45,optimized,90,10,1.0156776285793863,0.8128712832447827,0.6216490767392147,0.8788586078844999,0.015
3,acos,0.45,optimized,90,15,1.0156776285793863,0.8128712832447827,0.5983827531017349,0.943508503489342,0.015
3,acos,0.45,optimized,90,20,1.0156776285793863,0.8128712832447827,0.58630332439252,0.9728079093060956,0.015
3,acos,0.45,optimized,90,25,1.0156776285793863,0.8128712832447827,0.5796993104280929,0.9878320384684032,0.015
3,acos,0.45,optimized,90,30,1.0156776285793863,0.8128712832447827,0.5752522757781109,0.9934512784013851,0.015
3,acos,0.45,optimized,90,35,1.0156776285793863,0.8128712832447827,0.5735384600720503,0.9966209170233985,0.015
3,acos,0.45,optimized,90,40,1.0156776285793863,0.8128712832447827,0.572719284718913,0.9983171699453679,0.015
3,acos,0.45,optimized,90,45,1.0156776285793863,0.8128712832447827,0.5723233371395967,0.9988148631432836,0.015
3,acos,0.45,optimized,90,50,1.0156776285793863,0.8128712832447827,0.5721017870904577,0.9991443484213229,0.015
3,acos,0.5,optimized,100,5,1.0166267559037463,0.81363375473263,0.6670024743725699,0.7232067871602906,0.015
3,acos,0.5,optimized,100,10,1.0166267559037463,0.81363375473263,0.6218611658166271,0.8790369858953857,0.015
3,acos,0.5,optimized,100,15,1.0166267559037463,0.81363375473263,0.5985241458200101,0.9436207927791489,0.015
3,acos,0.5,optimized,100,20,1.0166267559037463,0.81363375473263,0.5861442575844606,0.9726175443565414,0.015
3,acos,0.5,optimized,100,25,1.0166267559037463,0.81363375473263,0.5797417282435755,0.9879619362986444,0.015
3,acos,0.5,optimized,100,30,1.0166267559037463,0.81363375473263,0.5753583203168172,0.993626075795315,0.015
3,acos,0.5,optimized,100,35,1.0166267559037463,0.81363375473263,0.5735384600720503,0.9966209170233985,0.015
3,acos,0.5,optimized,100,40,1.0166267559037463,0.81363375473263,0.572719284718913,0.9983171699453679,0.015
3,acos,0.5,optimized,100,45,1.0166267559037463,0.81363375473263,0.5723233371395967,0.9988148631432836,0.015
3,acos,0.5,optimized,100,50,1.0166267559037463,0.81363375473263,0.5721017870904577,0.9991443484213229,0.015
3,ami,0.5,optimized,10,5,1.0614766550566188,0.8465865323489632,0.6477023683280312,0.7075911043132938,0.015
3,ami,0.5,optimized,10,10,1.0614766550566188,0.8465865323489632,0.6128473800265953,0.8686004310329958,0.015
3,ami,0.5,optimized,10,15,1.0614766550566188,0.8465865323489632,0.5962618623276099,0.9415436889705945,0.015
3,ami,0.5,optimized,10,20,1.0614766550566188,0.8465865323489632,0.5848187008506324,0.971414392312097,0.015
3,ami,0.5,optimized,10,25,1.0614766550566188,0.8465865323489632,0.5792751322732679,0.9876158519851997,0.015
3,ami,0.5,optimized,10,30,1.0614766550566188,0.8465865323489632,0.575252275778111,0.9935296581073915,0.015
3,ami,0.5,optimized,10,35,1.0614766550566188,0.8465865323489632,0.57350816163242,0.9964330947848072,0.015
3,ami,0.5,optimized,10,40,1.0614766550566188,0.8465865323489632,0.572719284718913,0.9983261084484666,0.015
3,ami,0.5,optimized,10,45,1.0614766550566188,0.8465865323489632,0.57241759895178,0.9990518959164676,0.015
3,ami,0.5,optimized,10,50,1.0614766550566188,0.8465865323489632,0.5721229959981989,0.9992299135791906,0.015
3,ami,0.65,optimized,20,5,1.039837119237901,0.8278473989953838,0.6561859314245316,0.7134332481545304,0.015
3,ami,0.65,optimized,20,10,1.039837119237901,0.8278473989953838,0.6163468498039019,0.8726930905822211,0.015
3,ami,0.65,optimized,20,15,1.039837119237901,0.8278473989953838,0.596686040482435,0.9421702089674175,0.015
3,ami,0.65,optimized,20,20,1.039837119237901,0.8278473989953838,0.5856140348909292,0.9723527940471696,0.015
3,ami,0.65,optimized,20,25,1.039837119237901,0.8278473989953838,0.5797841460590579,0.9881732111650143,0.015
3,ami,0.65,optimized,20,30,1.039837119237901,0.8278473989953838,0.5753583203168173,0.993526241152358,0.015
3,ami,0.65,optimized,20,35,1.039837119237901,0.8278473989953838,0.5735687585116808,0.9964514895960274,0.015
3,ami,0.65,optimized,20,40,1.039837119237901,0.8278473989953838,0.5726927735842363,0.9980223521380361,0.015
3,ami,0.65,optimized,20,45,1.039837119237901,0.8278473989953838,0.5723704680456883,0.9989155264461159,0.015
3,ami,0.65,optimized,20,50,1.039837119237901,0.8278473989953838,0.5721229959981989,0.9992299135791906,0.015
3,ami,0.75,optimized,30,5,1.0360347018821845,0.8245547128826779,0.6553375751148816,0.7139204754553001,0.015
3,ami,0.75,optimized,30,10,1.0360347018821845,0.8245547128826779,0.6181496069619081,0.8761601737901459,0.015
3,ami,0.75,optimized,30,15,1.0360347018821845,0.8245547128826779,0.5980999676651851,0.9430911132428264,0.015
3,ami,0.75,optimized,30,20,1.0360347018821845,0.8245547128826779,0.5858261239683418,0.9724724223810841,0.015
3,ami,0.75,optimized,30,25,1.0360347018821845,0.8245547128826779,0.579953817320988,0.9883663208149585,0.015
3,ami,0.75,optimized,30,30,1.0360347018821845,0.8245547128826779,0.5754997130350922,0.9937821940305481,0.015
3,ami,0.75,optimized,30,35,1.0360347018821845,0.8245547128826779,0.5735687585116808,0.9965384468854318,0.015
3,ami,0.75,optimized,30,40,1.0360347018821845,0.8245547128826779,0.5726662624495598,0.9982369780756878,0.015
3,ami,0.75,optimized,30,45,1.0360347018821845,0.8245547128826779,0.5723940334987341,0.9989583090250499,0.015
3,ami,0.75,optimized,30,50,1.0360347018821845,0.8245547128826779,0.5721229959981989,0.9992299135791906,0.015
3,ami,0.8,optimized,40,5,1.0331385616683983,0.8222012398943228,0.6576705549664191,0.7151817298382054,0.015
3,ami,0.8,optimized,40,10,1.0331385616683983,0.8222012398943228,0.6192100523489705,0.8774752834250863,0.015
3,ami,0.8,optimized,40,15,1.0331385616683983,0.8222012398943228,0.5978878785877726,0.9430673885428499,0.015
3,ami,0.8,optimized,40,20,1.0331385616683983,0.8222012398943228,0.5861442575844606,0.9728524315799808,0.015
